	Name	Week	Site
B169	CQj_1_1_16	W1	CQ
B170	CQj_1_2_16	W1	CQ
B171	CQj_1_3_16	W1	CQ
B172	CQj_1_4_16	W1	CQ
B173	CQj_1_5_16	W1	CQ
B174	CQj_1_6_16	W1	CQ
B175	CQj_1_7_16	W1	CQ
B176	CQj_1_8_16	W1	CQ
B177	CQj_1_9_16	W1	CQ
B178	CQj_1_10_16	W1	CQ
B179	CQj_1_11_16	W1	CQ
B180	CQj_1_12_16	W1	CQ
B181	CQj_2_1_16	W2	CQ
B182	CQj_2_2_16	W2	CQ
B183	CQj_2_3_16	W2	CQ
B184	CQj_2_4_16	W2	CQ
B185	CQj_2_5_16	W2	CQ
B186	CQj_2_6_16	W2	CQ
B187	CQj_2_7_16	W2	CQ
B188	CQj_2_8_16	W2	CQ
B189	CQj_2_9_16	W2	CQ
B190	CQj_2_10_16	W2	CQ
B191	CQj_2_11_16	W2	CQ
B192	CQj_2_12_16	W2	CQ
B193	CQj_4_1_16	W4	CQ
B194	CQj_4_2_16	W4	CQ
B195	CQj_4_3_16	W4	CQ
B196	CQj_4_4_16	W4	CQ
B197	CQj_4_5_16	W4	CQ
B198	CQj_4_6_16	W4	CQ
B199	CQj_4_7_16	W4	CQ
B200	CQj_4_8_16	W4	CQ
B201	CQj_4_9_16	W4	CQ
B202	CQj_4_10_16	W4	CQ
B203	CQj_4_11_16	W4	CQ
B204	CQj_4_12_16	W4	CQ
B205	CQj_8_1_16	W8	CQ
B206	CQj_8_2_16	W8	CQ
B207	CQj_8_3_16	W8	CQ
B208	CQj_8_4_16	W8	CQ
B209	CQj_8_5_16	W8	CQ
B210	CQj_8_6_16	W8	CQ
B211	CQj_8_7_16	W8	CQ
B212	CQj_8_8_16	W8	CQ
B213	CQj_8_9_16	W8	CQ
B214	CQj_8_10_16	W8	CQ
B215	CQj_8_11_16	W8	CQ
B216	CQj_8_12_16	W8	CQ
B217	CQj_16_1_16	W16	CQ
B218	CQj_16_2_16	W16	CQ
B219	CQj_16_3_16	W16	CQ
B220	CQj_16_4_16	W16	CQ
B221	CQj_16_5_16	W16	CQ
B222	CQj_16_6_16	W16	CQ
B223	CQj_16_7_16	W16	CQ
B224	CQj_16_8_16	W16	CQ
B225	CQj_16_9_16	W16	CQ
B226	CQj_16_10_16	W16	CQ
B227	CQj_16_11_16	W16	CQ
B228	CQj_16_12_16	W16	CQ
B229	CSj_1_1_15	W1	CS
B230	CSj_1_2_15	W1	CS
B231	CSj_1_3_15	W1	CS
B232	CSj_1_4_15	W1	CS
B233	CSj_1_5_15	W1	CS
B234	CSj_1_6_15	W1	CS
B235	CSj_1_7_15	W1	CS
B236	CSj_1_8_15	W1	CS
B237	CSj_1_9_15	W1	CS
B238	CSj_1_10_15	W1	CS
B239	CSj_1_11_15	W1	CS
B240	CSj_1_12_15	W1	CS
B241	CSj_2_1_15	W2	CS
B242	CSj_2_2_15	W2	CS
B243	CSj_2_3_15	W2	CS
B244	CSj_2_4_15	W2	CS
B245	CSj_2_5_15	W2	CS
B246	CSj_2_6_15	W2	CS
B247	CSj_2_7_15	W2	CS
B248	CSj_2_8_15	W2	CS
B249	CSj_2_9_15	W2	CS
B250	CSj_2_10_15	W2	CS
B251	CSj_2_11_15	W2	CS
B252	CSj_2_12_15	W2	CS
B253	CSj_4_1_15	W4	CS
B254	CSj_4_2_15	W4	CS
B255	CSj_4_3_15	W4	CS
B256	CSj_4_4_15	W4	CS
B257	CSj_4_5_15	W4	CS
B258	CSj_4_6_15	W4	CS
B259	CSj_4_7_15	W4	CS
B260	CSj_4_8_15	W4	CS
B261	CSj_4_9_15	W4	CS
B262	CSj_4_10_15	W4	CS
B263	CSj_4_11_15	W4	CS
B264	CSj_4_12_15	W4	CS
B265	CSj_8_1_15	W8	CS
B266	CSj_8_2_15	W8	CS
B267	CSj_8_3_15	W8	CS
B268	CSj_8_4_15	W8	CS
B269	CSj_8_5_15	W8	CS
B270	CSj_8_6_15	W8	CS
B271	CSj_8_7_15	W8	CS
B272	CSj_8_8_15	W8	CS
B273	CSj_8_9_15	W8	CS
B274	CSj_8_10_15	W8	CS
B275	CSj_8_11_15	W8	CS
B276	CSj_8_12_15	W8	CS
B277	CSj_16_1_15	W16	CS
B278	CSj_16_2_15	W16	CS
B279	CSj_16_3_15	W16	CS
B280	CSj_16_4_15	W16	CS
B281	CSj_16_5_15	W16	CS
B282	CSj_16_6_15	W16	CS
B283	CSj_16_7_15	W16	CS
B284	CSj_16_8_15	W16	CS
B285	CSj_16_9_15	W16	CS
B286	CSj_16_10_15	W16	CS
B287	CSj_16_11_15	W16	CS
B288	CSj_16_12_15	W16	CS
B289	yj_1_1_15	W1	YT
B290	yj_1_2_15	W1	YT
B291	yj_1_3_15	W1	YT
B292	yj_1_4_15	W1	YT
B293	yj_1_5_15	W1	YT
B294	yj_1_6_15	W1	YT
B295	yj_1_7_15	W1	YT
B296	yj_1_8_15	W1	YT
B297	yj_1_9_15	W1	YT
B298	yj_1_10_15	W1	YT
B299	yj_1_11_15	W1	YT
B300	yj_1_12_15	W1	YT
B301	yj_2_1_15	W2	YT
B302	yj_2_2_15	W2	YT
B303	yj_2_3_15	W2	YT
B304	yj_2_4_15	W2	YT
B305	yj_2_5_15	W2	YT
B306	yj_2_6_15	W2	YT
B307	yj_2_7_15	W2	YT
B308	yj_2_8_15	W2	YT
B309	yj_2_9_15	W2	YT
B310	yj_2_10_15	W2	YT
B311	yj_2_11_15	W2	YT
B312	yj_2_12_15	W2	YT
B313	yj_4_1_15	W4	YT
B314	yj_4_2_15	W4	YT
B315	yj_4_3_15	W4	YT
B316	yj_4_4_15	W4	YT
B317	yj_4_5_15	W4	YT
B318	yj_4_6_15	W4	YT
B319	yj_4_7_15	W4	YT
B320	yj_4_8_15	W4	YT
B321	yj_4_9_15	W4	YT
B322	yj_4_10_15	W4	YT
B323	yj_4_11_15	W4	YT
B324	yj_4_12_15	W4	YT
B325	yj_8_1_15	W8	YT
B326	yj_8_2_15	W8	YT
B327	yj_8_3_15	W8	YT
B328	yj_8_4_15	W8	YT
